"","ctrl1a_data.Year","ctrl1a_data...2.","trt1a_data...2.","trt2a_data...2.","trt1b_data...2.","trt2b_data...2.","ctrl1a_ctrl1a","ctrl1a_trt1a","ctrl1a_trt2a","ctrl1a_trt1b","ctrl1a_trt2b"
"50",1899,2709.56477,2708.297968,2705.467571,2708.297968,2705.467571,0,-1.2668020000001,-4.09719899999982,-1.2668020000001,-4.09719899999982
"51",1900,2709.498203,2708.196515,2705.324891,2708.196515,2705.324891,0,-1.30168800000001,-4.1733119999999,-1.30168800000001,-4.1733119999999
"52",1901,2709.369464,2708.034545,2705.120493,2708.034545,2705.120493,0,-1.3349189999999,-4.24897099999998,-1.3349189999999,-4.24897099999998
"53",1902,2709.322601,2707.946735,2704.98683,2707.946735,2704.98683,0,-1.37586599999986,-4.33577100000002,-1.37586599999986,-4.33577100000002
"54",1903,2709.428821,2708.015593,2705.005242,2708.015593,2705.005242,0,-1.41322799999989,-4.42357899999979,-1.41322799999989,-4.42357899999979
"55",1904,2709.275025,2707.829237,2704.78068,2707.829237,2704.78068,0,-1.44578799999999,-4.49434500000007,-1.44578799999999,-4.49434500000007
"56",1905,2709.310145,2707.827797,2704.730436,2707.827797,2704.730436,0,-1.482348,-4.57970900000009,-1.482348,-4.57970900000009
"57",1906,2709.184893,2707.662587,2704.521157,2707.662587,2704.521157,0,-1.5223060000003,-4.66373599999997,-1.5223060000003,-4.66373599999997
"58",1907,2708.995954,2707.433758,2704.251216,2707.433758,2704.251216,0,-1.56219599999986,-4.74473799999987,-1.56219599999986,-4.74473799999987
"59",1908,2709.03402,2707.436082,2704.197076,2707.436082,2704.197076,0,-1.59793799999989,-4.83694400000013,-1.59793799999989,-4.83694400000013
"60",1909,2708.926854,2707.290912,2704.006558,2707.290912,2704.006558,0,-1.63594199999989,-4.92029599999978,-1.63594199999989,-4.92029599999978
"61",1910,2708.873315,2707.205795,2703.882152,2707.205795,2703.882152,0,-1.66751999999997,-4.99116299999969,-1.66751999999997,-4.99116299999969
"62",1911,2708.940082,2707.230716,2703.863969,2707.230716,2703.863969,0,-1.70936600000005,-5.07611300000008,-1.70936600000005,-5.07611300000008
"63",1912,2708.950188,2707.199133,2703.787428,2707.199133,2703.787428,0,-1.75105499999972,-5.16275999999971,-1.75105499999972,-5.16275999999971
"64",1913,2708.910322,2707.128643,2703.674697,2707.128643,2703.674697,0,-1.78167900000017,-5.23562500000025,-1.78167900000017,-5.23562500000025
"65",1914,2709.020198,2707.198638,2703.705985,2707.198638,2703.705985,0,-1.82156000000032,-5.31421300000011,-1.82156000000032,-5.31421300000011
"66",1915,2709.201068,2707.343524,2703.805891,2707.343524,2703.805891,0,-1.85754399999996,-5.39517699999988,-1.85754399999996,-5.39517699999988
